ID,MARKA,MODEL,DLUGOSC,ILOSC,POZIOM,PLEC,WAGA_MIN,WAGA_MAX,WZROST_MIN,WZROST_MAX,PRZEZNACZENIE,ATUTY,ROK,KOD
99,NORDICA,SPITFIRE CA,168,1,4M/5K,U,50,100,178,188,SLG,C,2025,59779
100,NORDICA,SPITFIRE CA,168,1,4M/5K,U,50,100,178,188,SLG,C,2025,59776
101,ATOMIC,CLOUD C12 REVOSHOCK,168,1,5K,K,50,90,178,188,SLG,,2025,A00888
102,K2,MINDBENDER 85,170,1,4M,M,50,100,180,190,OFF,,2025,FD84
103,K2,MINDBENDER 85,170,1,4M,M,50,100,180,190,OFF,,2025,BJ38
104,K2,MINDBENDER 85,170,1,4M,M,50,100,180,190,OFF,,2025,BJ37
105,HEAD,SX BLACK EDITION,170,1,4M/5K,U,50,90,180,190,SLG,C,2024,A01209
106,HEAD,WC REBELS e.XSR,170,3,5M/6K,U,50,100,180,190,SL,C,2025,NO_CODE_69
107,SALOMON,E S/MAX 24 ENDURANCE,170,6,4M/5K,U,50,100,180,190,SLG,C,2025,NO_CODE_70
108,MOLITOR,RELEASE R2,172,1,5M,M,55,120,182,192,SLG,,2025,B1055
109,MOLITOR,RELEASE R2,172,1,5M,M,55,120,182,192,SLG,,2025,B1056
110,BLIZZARD,FIREBIRD TI,172,1,4M,M,50,100,182,192,SLG,C,2025,BQ42
111,BLIZZARD,FIREBIRD TI,172,1,4M,M,50,100,182,192,SLG,C,2025,BQ43
112,NORDICA,SPITFIRE CA,174,1,4M,M,50,100,184,194,SLG,C,2025,69767
113,NORDICA,SPITFIRE CA,174,1,4M,M,50,100,184,194,SLG,C,2025,57091
114,ROSSIGNOL,HERO ELITE MT CARBON,175,1,6M,M,60,120,185,195,SLG,C,2025,A00889
115,ATOMIC,REDSTER X9 REVOSHOCK,175,1,6M,M,60,120,185,195,SLG,,2025,A00890
116,SALOMON,ADDIKT PRO,177,1,5M,M,60,120,187,197,SL,,2024,NO_CODE_76
117,K2,MINDBENDER RX,177,1,4M,M,50,100,187,197,OFF,,2025,DI90
118,K2,MINDBENDER RX,177,1,4M,M,50,100,187,197,OFF,,2025,BM73
119,ATOMIC,REDSTER G9 REVOSHOCK,177,1,6M,M,60,120,172,177,G,,2025,B2103
120,BLIZZARD,FIREBIRD TI 71,178,1,4M,M,50,100,188,198,SLG,C,2024,A01206
121,BLIZZARD,FIREBIRD TI 71,178,1,4M,M,50,100,188,198,SLG,C,2024,A01207
122,HEAD,SUPERSHAPE e-MAGNUM,170,1,6M,M,55,120,180,190,SL,C,2024,NO_CODE_80
123,HEAD,SHAPE e-V8,170,1,4M,M,50,100,180,190,SLG,C,2025,NO_CODE_81
